Mass (Da)	Abundance	RT (min)
65336.67	1252	28
72425.24	1275	28
80859.47	1339	29.5
81099.27	2544	29.5
53473.38	2757	20
69772.25	2831	26
61254.5	3217	21
116770.5	3919	28
67766.69	5067	33.5
61335.29	5133	21
72344.51	5322	28
53314.16	6192	20
62705.55	6943	21
81019.13	7183	29.5
69533.25	8040	26
53393.71	8154	20
80939.73	9002	29.5
65256.39	9886	28
62785.42	9950	21
69693.09	10682	26
116693.79	12007	28
71261.64	16004	32.5
69613.18	16291	26
71288.9	17804	32.5
53445.98	18764	33
72265.71	20900	28
116614.49	23155	28
116456	26788	28
65176.52	31461	28
116535.36	34051	28
60100.53	46302	37.5
67689.01	60103	33.5
223096.71	67149	38
79109.12	71413	39.5
140715.01	73267	33
140865.7	77731	33
53561.95	81444	33
140836.39	89031	33
70864.48	115692	37
50173.93	152320	36.5
140761.79	168435	33
140788.89	169358	33
79009.04	202302	39.5
50928.81	456652	35
55191.51	792176	38.5
